amp_window_end,mean_empty,mean_20g,mean_40g,mean_100g,kendall_tau,monotone,cohens_d_20_100
0.20000000,9709.86034399,20595.16721973,22498.47467954,21759.01422849,0.10306199,0,0.03567894
0.30000000,101.64781575,8376.11333239,14011.26041656,11972.86604332,0.10380881,0,0.14991191
0.40000000,0.53645718,3206.78825851,2049.50023456,9707.21678079,0.23338312,0,0.35535566
0.50000000,0.11072871,1236.65249763,453.82757278,5873.47355006,0.30171770,0,0.34968580
0.60000000,0.07341888,86.93576222,13.78081498,2834.00771802,0.36295743,0,0.38310382
0.70000000,0.07770080,2.19054072,1.68221173,1527.87312545,0.38498880,0,0.26964134
0.80000000,0.07671349,0.98021942,1.31850204,11.03554852,0.37341299,1,0.51481362
0.90000000,0.07836642,0.88613278,1.31549437,2.20271083,0.30134429,1,0.55077239
1.00000000,0.08151904,0.89052104,1.29631784,1.32775080,0.26325616,1,0.65331934
1.10000000,0.07811251,0.86222107,1.26615794,1.18451787,0.22292756,0,0.60761283
1.20000000,0.07966498,0.87168929,1.29332438,1.17757054,0.21545930,0,0.57397349
1.30000000,0.08351278,0.88719783,1.29528976,1.17436994,0.22106049,0,0.52517892
1.40000000,0.08549685,0.88998666,1.30675583,1.16882006,0.20463032,0,0.52501123
1.50000000,0.08973408,0.91808572,1.35798420,1.19326251,0.19865571,0,0.50691658
1.60000000,0.09173233,0.93791598,1.37626953,1.19667140,0.19529500,0,0.46503284
1.70000000,0.09221847,0.95220588,1.39978729,1.19450133,0.18259895,0,0.43112297
1.80000000,0.09590373,0.98358854,1.44962598,1.22335915,0.18147872,0,0.41208951
1.90000000,0.09946310,1.00813906,1.47671484,1.25186703,0.18147872,0,0.41002027
2.00000000,0.10298125,1.03376838,1.51393715,1.27599168,0.17849141,0,0.40025240
2.10000000,0.10711870,1.06869904,1.56701417,1.30783350,0.17662435,0,0.38274161
2.20000000,0.10938292,1.09523438,1.60018024,1.33229888,0.17625093,0,0.37199071
2.30000000,0.11207094,1.12545093,1.64364058,1.35646331,0.17027633,0,0.35291522
2.40000000,0.11623719,1.16261509,1.69944373,1.38937723,0.16878267,0,0.33417768
2.50000000,0.12005968,1.19439617,1.74179370,1.42515889,0.16990291,0,0.33259922
2.60000000,0.12426061,1.22971943,1.79097984,1.46350291,0.16691561,0,0.32823037
2.70000000,0.12821639,1.26706569,1.84507505,1.49763023,0.16579537,0,0.31375388
2.80000000,0.13128884,1.30077013,1.89066225,1.52964410,0.16206124,0,0.30441446
